0.8869,0.8869,0.8869,0.8869,0.8869,0.8869,0.8869,0.8869,0.8869,0.8869,0.8869,0.8869,0.8869,0.8869,0.8869,0.8869,0.8869,0.8869,0.8869,0.8869
0.9327,0.9327,0.9327,0.9327,0.9327,0.9327,0.9327,0.9327,0.9327,0.9327,0.9327,0.9327,0.9327,0.9327,0.9327,0.9327,0.9327,0.9327,0.9327,0.9327
0.9326,0.9326,0.9326,0.9326,0.9326,0.9326,0.9326,0.9326,0.9326,0.9326,0.9326,0.9326,0.9326,0.9326,0.9326,0.9326,0.9326,0.9326,0.9326,0.9326
0.9325,0.9325,0.9325,0.9325,0.9325,0.9325,0.9325,0.9325,0.9325,0.9325,0.9325,0.9325,0.9325,0.9325,0.9325,0.9325,0.9325,0.9325,0.9325,0.9325
0.9324,0.9324,0.9324,0.9324,0.9324,0.9324,0.9324,0.9324,0.9324,0.9324,0.9324,0.9324,0.9324,0.9324,0.9324,0.9324,0.9324,0.9324,0.9324,0.9324
0.9322,0.9322,0.9322,0.9322,0.9322,0.9322,0.9322,0.9322,0.9322,0.9322,0.9322,0.9322,0.9322,0.9322,0.9322,0.9322,0.9322,0.9322,0.9322,0.9322
0.9321,0.9321,0.9321,0.9321,0.9321,0.9321,0.9321,0.9321,0.9321,0.9321,0.9321,0.9321,0.9321,0.9321,0.9321,0.9321,0.9321,0.9321,0.9321,0.9321
0.9320,0.9320,0.9320,0.9320,0.9320,0.9320,0.9320,0.9320,0.9320,0.9320,0.9320,0.9320,0.9320,0.9320,0.9320,0.9320,0.9320,0.9320,0.9320,0.9320
0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319
0.9318,0.9318,0.9318,0.9318,0.9318,0.9318,0.9318,0.9318,0.9318,0.9318,0.9318,0.9318,0.9318,0.9318,0.9318,0.9318,0.9318,0.9318,0.9318,0.9318
0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317
0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316
