0.0399,0.0293,0.0492,0.0425,0.0370
0.0308,0.0457,0.0383,0.0387,0.0281
0.0353,0.0485,0.0312,0.0476,0.0406
0.0399,0.0326,0.0273,0.0362,0.0291
0.0377,0.0324,0.0424,0.0470,0.0329
0.0329,0.0555,0.0332,0.0455,0.0271
0.0258,0.0382,0.0159,0.0641,0.0296
0.0368,0.0213,0.0492,0.0214,0.0250
0.0219,0.0282,0.0170,0.0283,0.0263
0.0233,0.0192,0.0243,0.0405,0.0192
0.0209,0.0185,0.0238,0.0279,0.0263
0.0200,0.0193,0.0259,0.0222,0.0211
0.0252,0.0293,0.0333,0.0320,0.0261
0.0326,0.0185,0.0201,0.0375,0.0297
0.0211,0.0217,0.0249,0.0222,0.0212
0.0149,0.0246,0.0312,0.0334,0.0158
0.0347,0.0186,0.0223,0.0279,0.0295
0.0329,0.0212,0.0331,0.0217,0.0276
0.0230,0.0313,0.0206,0.0279,0.0229
0.0234,0.0204,0.0525,0.0560,0.0156
0.0317,0.0410,0.0292,0.0399,0.0188
0.0336,0.0245,0.0260,0.0231,0.0232
0.0181,0.0250,0.0197,0.0345,0.0340
0.0155,0.0197,0.0163,0.0215,0.0262
0.0233,0.0172,0.0177,0.0202,0.0271
0.0175,0.0160,0.0169,0.0190,0.0353
0.0179,0.0330,0.0181,0.0182,0.0248
0.0289,0.0214,0.0286,0.0192,0.0301
0.0168,0.0173,0.0202,0.0322,0.0154
0.0197,0.0159,0.0229,0.0238,0.0264
0.0233,0.0208,0.0194,0.0148,0.0115
0.0165,0.0237,0.0222,0.0375,0.0163
0.0163,0.0250,0.0242,0.0177,0.0240
0.0231,0.0173,0.0140,0.0166,0.0251
0.0164,0.0238,0.0422,0.0167,0.0169
0.0177,0.0315,0.0190,0.0140,0.0149
0.0140,0.0140,0.0285,0.0253,0.0149
0.0221,0.0202,0.0158,0.0213,0.0166
0.0233,0.0251,0.0154,0.0276,0.0212
0.0224,0.0199,0.0150,0.0184,0.0249
0.0206,0.0175,0.0209,0.0231,0.0253
0.0180,0.0160,0.0139,0.0198,0.0160
0.0181,0.0224,0.0166,0.0151,0.0179
0.0155,0.0165,0.0156,0.0197,0.0193
0.0233,0.0194,0.0237,0.0252,0.0166
0.0190,0.0167,0.0188,0.0193,0.0199
0.0182,0.0177,0.0171,0.0138,0.0197
0.0163,0.0179,0.0259,0.0200,0.0219
0.0156,0.0187,0.0142,0.0217,0.0191
0.0173,0.0193,0.0172,0.0187,0.0166
0.0323,0.0165,0.0164,0.0197,0.0175
0.0357,0.0168,0.0210,0.0287,0.0177
0.0163,0.0249,0.0161,0.0256,0.0205
0.0207,0.0214,0.0191,0.0216,0.0157
0.0370,0.0112,0.0122,0.0274,0.0171
0.0362,0.0192,0.0199,0.0140,0.0202
0.0198,0.0257,0.0163,0.0174,0.0312
0.0225,0.0221,0.0222,0.0196,0.0162
0.0220,0.0215,0.0204,0.0201,0.0298
0.0225,0.0194,0.0212,0.0312,0.0302
0.0240,0.0226,0.0205,0.0174,0.0174
0.0263,0.0178,0.0262,0.0324,0.0235
0.0197,0.0236,0.0207,0.0273,0.0221
0.0248,0.0174,0.0230,0.0225,0.0205
0.0229,0.0164,0.0225,0.0195,0.0171
0.0157,0.0130,0.0151,0.0162,0.0245
0.0223,0.0250,0.0178,0.0157,0.0228
0.0141,0.0305,0.0210,0.0177,0.0204
0.0245,0.0278,0.0152,0.0226,0.0171
0.0219,0.0177,0.0171,0.0202,0.0321
0.0190,0.0199,0.0242,0.0176,0.0155
0.0164,0.0137,0.0260,0.0195,0.0146
0.0281,0.0284,0.0226,0.0277,0.0155
0.0151,0.0204,0.0166,0.0126,0.0254
0.0184,0.0129,0.0191,0.0149,0.0251
0.0305,0.0228,0.0167,0.0232,0.0194
0.0226,0.0138,0.0178,0.0202,0.0202
0.0197,0.0204,0.0217,0.0204,0.0182
0.0147,0.0241,0.0275,0.0135,0.0184
0.0164,0.0218,0.0188,0.0221,0.0160
0.0234,0.0174,0.0140,0.0254,0.0264
0.0270,0.0297,0.0292,0.0182,0.0189
0.0218,0.0334,0.0195,0.0167,0.0177
0.0124,0.0228,0.0219,0.0225,0.0222
0.0197,0.0198,0.0186,0.0161,0.0194
0.0298,0.0171,0.0164,0.0231,0.0233
0.0359,0.0268,0.0223,0.0148,0.0218
0.0162,0.0476,0.0181,0.0267,0.0199
0.0236,0.0141,0.0167,0.0183,0.0214
0.0255,0.0147,0.0139,0.0146,0.0156
0.0303,0.0274,0.0234,0.0194,0.0144
0.0286,0.0270,0.0252,0.0185,0.0264
0.0158,0.0140,0.0323,0.0178,0.0233
0.0236,0.0250,0.0147,0.0245,0.0208
0.0157,0.0196,0.0236,0.0225,0.0211
0.0157,0.0157,0.0191,0.0203,0.0144
0.0179,0.0357,0.0187,0.0245,0.0181
0.0139,0.0162,0.0220,0.0164,0.0263
0.0171,0.0136,0.0257,0.0304,0.0137
0.0198,0.0216,0.0153,0.0166,0.0186
